mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.04075927734375,0.024883829889253882,0.04052987098693848,0.0014654327443377614,0.8,0.03,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.9280165423358993,0.9290173165441484,0.9246480459657018,0.9220378017617821,0.9316846075400228,0.9270808628295107,0.003381445765138072,30
1.7279369354248046,0.025039832703644887,0.040407323837280275,0.0006148378627379289,0.8,0.03,4,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.9275991215282544,0.9292217653501673,0.9235985061319538,0.9210675277906564,0.930724919198623,0.926442367999931,0.0035883096500881166,31
2.4503897190093995,0.24179058404590018,0.056121015548706056,0.003788344537166491,0.8,0.03,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.9312050806013794,0.9329634482216946,0.9288928131551532,0.926453901473902,0.9345165136971149,0.9308063514298489,0.0028699409373299633,24
1.6823801517486572,0.021573318455671914,0.052609729766845706,0.0010177541239081433,0.8,0.03,4,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",0.9304727331104787,0.9329774737334532,0.9275316911832612,0.9246460801966642,0.9325095100118168,0.9296274976471348,0.0031448269455551002,27
2.1038795471191407,0.021366001514739004,0.05635061264038086,0.0020676867326140254,0.8,0.03,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9342637210502649,0.936157596691878,0.9324542142563069,0.9306795907145244,0.9375344653619739,0.9342179176149896,0.0024655363970549123,18
1.7727837562561035,0.033025071471972915,0.055076074600219724,0.001162295120425988,0.8,0.03,6,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9331073715500476,0.9390669193848107,0.9329250398971867,0.9303367224815897,0.9365275102384383,0.9343927127104145,0.003054923587986112,17
3.2255392551422117,0.06631762298295216,0.082820463180542,0.011030400310139696,0.8,0.03,6,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9364676683902942,0.9404705494461867,0.9351986832418004,0.9340194291998664,0.9393618984411675,0.937103645743863,0.0024487338280990566,8
2.6343671798706056,0.05186482369628963,0.07962226867675781,0.00810942889581853,0.8,0.03,6,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.935371089147879,0.9419600587949454,0.9351009362136987,0.9323147918531058,0.9378905849534077,0.9365274921926074,0.0032400609832729356,10
1.7006558418273925,0.03067456044786446,0.04759964942932129,0.006851217602999844,0.8,0.05,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.9324136481607592,0.9334411787299014,0.931081656097904,0.9271839520415756,0.9356194052802823,0.9319479680620845,0.002806147977669747,22
1.2749689102172852,0.01329372937899475,0.04214420318603516,0.0008331586229996614,0.8,0.05,4,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.9314873170533824,0.9324768708522245,0.9285816625712172,0.9259376583609173,0.9336118620198456,0.9304190741715175,0.0027938766377429915,25
